Targeted,,,,Conflict,,,,Shellings,,,,Diesel,,,,Wheat,,,,Rainfall,,,,Incidence,,,,DA,Threshold,,Temporal threshold,,Threshold,,KV,Efficacy,,Threshold,,,AIC
1-week lag,2-week lag,3-week lag,4-week lag,1-week lag,2-week lag,3-week lag,4-week lag,1-week lag,2-week lag,3-week lag,4-week lag,1-week lag,2-week lag,3-week lag,4-week lag,1-week lag,2-week lag,3-week lag,4-week lag,1-week lag,2-week lag,3-week lag,4-week lag,1-week lag,2-week lag,3-week lag,4-week lag,,Conflict,Shelling,Conflict,Shelling,Diesel,Wheat,,dV_1,dV_2,Rain,DARv,w,
0,0,0,0,0,0,0,0,0.164553535,0.002556285,3.24E-16,7.95E-32,0.00156283,0.00063548,4.19E-32,0.000666483,1.01E-30,1.02E-30,1.41E-30,1.02E-30,0,0,0,0,1.885102112,3.23E-19,3.35E-27,0.009304688,0,1,8.575815989,1,28,14.99992676,1.02E-32,1.201473669,0.500032116,0.995093773,0,8.876196711,0.565973551,129.4359636
0,0,0,0,1.96E-31,0.006397316,1.31E-22,1.15E-32,0,0,0,0,0,0,0,0,0.006064598,1.06E-30,4.06E-17,6.18E-32,2.70E-31,0.001507416,0.001206147,0.012056319,1.859370481,0.055456332,3.36E-30,0.044998448,0,2.74E-17,1,50,1,0,48.68113321,0.858035942,0.995091816,0.995093773,2.78E-29,8.54172168,0.610045743,208.5607634
0,0,0,0,0.037909234,1.68E-17,1.16E-23,5.31E-20,0,0,0,0,0.001779975,0.000921577,7.13E-23,0.000375349,0,0,0,0,1.19E-15,0.00157175,0.001312518,0.012080002,1.908156535,8.75E-30,1.57E-15,4.45E-21,0,6.61E-28,1,148,1,62.99985847,0,1.136984424,0.500001164,0.995093773,0.001607959,9.032534938,0.555897354,5.676710163
0,0,0,0,0.056876728,2.82E-23,1.90E-15,1.01E-15,0,0,0,0,0.001437491,0.000808744,2.06E-26,0.000606006,1.26E-27,1.00E-29,1.00E-29,1.00E-29,0,0,0,0,1.887397629,1.14E-18,1.15E-14,0.010278416,0,2.35E-26,1,148,1,15.00003067,1.15E-30,1.212703671,0.500000499,0.995093773,0,8.918116651,0.569552354,137.7492349
0,0,0,0,0.034119566,0.034186236,3.48E-23,0.006661145,0.145027849,5.07E-14,1.45E-29,2.29E-20,0,0,0,0,0,0,0,0,5.15E-28,0.001255857,0.000955653,0.012211694,1.977098401,1.35E-28,2.93E-20,0.041226419,0,2.33E-31,8.576808295,56,28,0,0,0.405727424,0.994832694,0.995093773,1.73E-14,8.137767717,0.515580979,343.5678624
0,0,0,0,8.04E-19,1.30E-17,2.54E-19,0.049044362,0.188079479,0.039062507,3.79E-22,0.010681264,0,0,0,0,0.005767295,8.71E-16,1.65E-27,2.36E-18,0,0,0,0,1.873730121,0.058164414,1.88E-17,0.136192238,0,3.03E-23,8.709378895,145,29,0,50.00001734,0.875872279,0.995093773,0.995093773,0,8.395764218,0.620992405,298.6154353
0,0,0,0,0.058309287,3.31E-30,3.37E-17,5.13E-16,0.173031145,0.009480554,1.33E-26,8.97E-29,0.001431627,0.000749631,4.95E-24,0.000637806,0,0,0,0,0,0,0,0,1.887698144,1.97E-14,2.88E-24,0.008176911,0,5.04E-28,8.709271615,148,29,15.00028986,0,1.515423265,0.500009388,0.995093773,0,8.896023534,0.568518915,118.6980213
0.045116154,9.09E-25,1.02E-30,1.85E-25,0,0,0,0,0,0,0,0,0,0,0,0,0.006105599,0.000136829,5.24E-16,5.76E-26,1.22E-24,0.001344131,0.001168141,0.012041208,1.828917284,0.068834557,1.84E-14,0.048601981,0.89274468,1,1,1,1,0,44.99998911,0.88318714,0.995093773,0.995093773,0.000916671,8.510401231,0.612288645,199.9139407
0.028653357,8.36E-32,7.22E-24,8.20E-30,0,0,0,0,0,0,0,0,0.001793112,0.000781768,1.96E-17,0.000401246,0,0,0,0,5.64E-32,0.001219344,0.001043717,0.011803593,1.832159757,1.75E-22,3.87E-32,1.93E-32,0.895295887,1,1,1,1,28.7100851,0,1.018562342,0.500049791,0.995093773,0.002060111,9.035931642,0.53823364,8.310912714
0.015550638,1.96E-23,3.38E-17,0.016309614,0,0,0,0,0,0,0,0,0.001467068,0.000665011,7.34E-29,0.000610944,0.000521402,5.85E-32,2.18E-32,1.19E-32,0,0,0,0,1.878020827,0.0066459,1.21E-19,0.012039965,0.882569245,1,1,1,1,15.00010774,49.99587245,1.149414527,0.500004284,0.995093773,0,8.900217595,0.575467267,145.4693149
0.016267708,1.73E-23,7.04E-15,2.07E-14,0,0,0,0,0.036568474,0.020827105,2.58E-14,0.015376616,0,0,0,0,0,0,0,0,8.55E-17,0.000624659,0.000427463,0.011809419,1.979857942,0.033825166,5.88E-18,0.045821564,0.920699995,1,7.48E-21,1,61,0,0,0.174059088,0.995093727,0.995093773,0.000916629,7.928357776,0.485304378,431.4908878
0.028006938,1.78E-31,6.61E-18,0.012378025,0,0,0,0,0.18691256,0.035830916,2.82E-30,0.015971922,0,0,0,0,0.00590209,9.02E-29,5.55E-32,6.40E-32,0,0,0,0,1.885458571,0.037427915,1.81E-22,0.140663501,0.899716539,1,8.708144026,1,27,0,50.01187222,0.91276031,0.994499116,0.995093773,0,8.383350699,0.614090714,303.1607101
0.017116364,1.00E-28,5.90E-29,0.015980232,0,0,0,0,0.165502989,0.003089319,6.40E-31,1.96E-29,0.0015466,0.000634336,7.79E-31,0.000682742,0,0,0,0,0,0,0,0,1.88735536,0.001905629,4.35E-27,0.001655905,0.886119817,1,8.575590011,1,28,14.99926801,0,1.398632938,0.500102395,0.995093773,0,8.868632449,0.561694586,127.2538094
0.02160603,2.60E-17,1.29E-20,2.39E-22,0.03802857,0.031611639,1.60E-15,0.007700139,0,0,0,0,0,0,0,0,0,0,0,0,4.30E-17,0.001193263,0.001041311,0.01235274,1.964935413,0.019923854,2.30E-29,0.030769199,0.910427759,6.37E-31,1,56,1,0,0,0.376367464,0.995093773,0.995093773,1.42E-30,8.160387741,0.514658422,355.7351361
0.02386432,4.10E-23,2.91E-25,0.012490509,0.052835285,2.47E-31,1.75E-30,1.61E-21,0,0,0,0,0,0,0,0,0.005801106,2.25E-05,2.53E-20,1.81E-21,0,0,0,0,1.916289164,7.22E-32,1.43E-30,0.153679796,0.897846965,5.95E-19,1,148,1,0,49.98301274,0.857774798,0.995072925,0.995093773,0,8.433959229,0.6169744,325.0011941
0.016181917,1.83E-20,1.27E-31,0.013470478,4.36E-16,1.72E-20,1.29E-31,0.052703132,0,0,0,0,0.001571507,0.000697089,9.85E-25,0.000585918,0,0,0,0,0,0,0,0,1.863373001,0.029002401,5.98E-18,1.12E-29,0.888016729,1.58E-13,1,145,1,15.00669018,0,1.179566703,0.500118071,0.995093773,0,8.897361527,0.56770298,135.105079
3.75E-20,1.15E-29,1.13E-21,0.012936177,0.041044701,0.025157541,6.71E-22,0.003566212,0.061911787,7.65E-30,9.08E-31,7.67E-16,0,0,0,0,0,0,0,0,0,0,0,0,1.978095078,9.30E-20,5.84E-19,0.147613663,0.901071906,1.01E-21,1.95E-21,61,148,0,0,0.371286515,0.995093773,0.995093773,0,8.055142647,0.545907661,464.5219826
0,0,0,0,0,0,0,0,0.159953318,0.011932032,6.06E-25,2.83E-17,0.001427528,0.000781698,2.07E-31,0.00038415,0.001042319,2.18E-32,9.78E-25,3.60E-21,4.57E-22,0.001300987,0.000994973,0.011774706,1.862397529,3.94E-23,1.46E-17,2.00E-30,0,1,8.704851999,1,27,35.18280191,50.00085458,0.429154459,0.993242073,0.995093773,0.002064034,9.026979279,0.55286142,1.771535953
0,0,0,0,0.037192689,1.14E-23,1.16E-22,9.11E-16,0,0,0,0,0.001721015,0.000918071,4.75E-18,0.000364212,0.000228798,1.00E-30,1.01E-29,1.47E-30,1.34E-20,0.001596679,0.001331247,0.012097921,1.896668339,8.81E-30,4.62E-31,1.87E-14,0,8.54E-28,1,148,1,62.99999682,1.01E-32,1.182950111,0.500001164,0.995093773,0.000916735,9.032451923,0.564231618,15.32109722
0,0,0,0,4.689275944,9.787581046,14.6520041,12.65632306,0.17504083,0.027148311,1.23E-30,1.54E-21,0,0,0,0,0.006080408,0.00010504,1.31E-24,6.10E-30,5.11E-17,0.001360145,0.001170639,0.011985933,1.789419335,0.107260269,7.45E-18,0.048677431,0,12.12313465,8.573838408,139,29,0,44.8752408,1.041030814,0.994683695,0.995093773,6.14E-24,8.484002468,0.618895142,183.7780456
0,0,0,0,0.127290387,2.81E-14,7.18E-16,5.94E-16,7.82E-19,5.59E-19,2.40E-16,0.046850979,0.001644315,0.000866614,1.37E-16,0.000374167,0,0,0,0,4.51E-17,0.001032241,0.000734127,0.011784769,1.836945757,6.76E-14,1.98E-16,7.97E-16,0,9.017335127,3.49E-20,29,145,27.46827195,0,1.15616785,0.500000448,0.995093773,0.001852909,9.02429753,0.544746094,0
0,0,0,0,0.058333877,3.42E-30,3.19E-17,5.16E-20,0.173079787,0.009484826,7.00E-16,8.97E-29,0.001431627,0.000742501,4.95E-24,0.000644021,1.00E-30,1.00E-31,1.00E-30,1.00E-30,0,0,0,0,1.886637264,0.003467497,2.88E-24,0.005980328,0,5.04E-28,8.709372619,148,29,15.00028986,1.00E-32,1.515636255,0.500009388,0.995093773,0,8.895863057,0.568279269,128.6764918
0.030655876,3.31E-15,5.36E-16,2.51E-29,0,0,0,0,0,0,0,0,0.001556808,0.00078027,2.13E-31,0.00036272,0.000891251,8.64E-25,4.84E-18,4.70E-18,1.64E-31,0.001266847,0.001076727,0.011834173,1.825625621,2.07E-22,7.09E-30,6.62E-31,0.889615421,1,1,1,1,24.31715014,49.9991452,1.216030601,0.500003754,0.995093773,0.002060065,9.045911156,0.557200633,14.66610098
0.044859607,5.29E-27,1.82E-29,2.03E-20,0,0,0,0,0.17871799,0.034783998,7.03E-30,0.02251153,0,0,0,0,0.005953899,0.000293641,7.73E-23,4.65E-32,2.37E-30,0.001377524,0.001121829,0.011889832,1.879902199,0.032587077,6.45E-25,0.048990579,0.898299102,1,8.709367942,1,29,0,49.99781699,0.980488976,0.995093773,0.995093773,1.22E-24,8.506983012,0.590727008,186.7293773
0.047118527,6.79E-19,1.45E-17,0.002555265,0,0,0,0,0.494785822,0.261704081,0.086623996,0.173829699,0.002054162,0.000799938,3.29E-27,0.000365343,0,0,0,0,6.34E-19,0.001575017,0.001745017,0.012490725,1.91247382,0.009280255,5.94E-18,5.61E-24,0.898408814,1,10.89977467,1,5,80.00081636,0,1.320596085,0.500065125,0.995093773,0.000916726,8.991278708,0.565023937,8.679090983
0.017954093,1.00E-28,4.60E-20,0.016470312,0,0,0,0,0.165202342,0.003788662,5.99E-20,5.17E-31,0.001431639,0.000621279,4.40E-17,0.000661397,0.000528433,1.00E-29,1.01E-29,1.33E-30,0,0,0,0,1.888947509,2.75E-25,4.76E-26,0.006867907,0.884252924,1,8.575919565,1,28,14.99926801,56.82517751,1.52511084,0.500102395,0.995093773,0,8.877089711,0.571579264,136.6267807
0.042691783,1.83E-31,3.38E-30,0.015321134,0.138506038,1.57E-21,1.50E-19,0.071412825,0,0,0,0,0,0,0,0,0.005330765,0.000938576,2.56E-32,5.48E-31,7.68E-32,0.001591464,0.001505717,0.012365259,1.946552684,6.15E-30,1.44E-16,8.29E-18,0.890729026,9.140953734,1,28,1,0,49.99104702,0.991388025,0.994544329,0.995093773,3.54E-28,8.440188858,0.591218335,187.3163017
0.037306819,3.25E-22,2.90E-26,3.19E-32,0.038079269,1.06E-18,1.51E-22,5.55E-19,0,0,0,0,0.001777335,0.000922533,3.69E-29,0.000378078,0,0,0,0,3.11E-16,0.001526155,0.001331703,0.012103608,1.903460971,2.31E-32,3.29E-15,1.69E-16,0.895691406,8.96E-28,1,148,1,62.99985847,0,1.399964632,0.500001164,0.995093773,0.001852911,9.026912615,0.550544867,12.46274633
0.015420216,7.69E-20,1.45E-16,0.014447742,2.82E-18,6.03E-16,5.50E-18,0.052813139,0,0,0,0,0.001508421,0.000767365,7.25E-18,0.000572076,0.133369081,0.003344028,8.07E-12,4.32E-12,0,0,0,0,1.883537075,0.005512345,3.31E-15,0.00474343,0.886344781,3.05E-14,1,145,1,15.00037334,294.0004839,1.183807013,0.500007054,0.995093773,0,8.89734456,0.566884279,144.5493976
0.022437583,2.66E-27,5.18E-21,1.54E-29,0.033681323,0.034073218,1.37E-17,0.006742173,0.150118437,8.64E-27,4.23E-28,7.32E-31,0,0,0,0,0,0,0,0,4.04E-29,0.00123277,0.000975739,0.012234828,1.975763237,3.25E-31,8.69E-32,0.039449935,0.912464821,1.13E-30,8.636545209,56,3,0,0,0.425057539,0.995079602,0.995093773,1.14E-14,8.130127873,0.509908411,351.4765209
0.034071021,1.00E-29,1.00E-30,6.58E-31,2.71E-18,1.23E-17,2.52E-28,0.048739025,0.1886097,0.039098443,5.78E-22,0.011665443,0,0,0,0,0.005754821,5.04E-17,3.80E-17,5.08E-19,0,0,0,0,1.870277081,0.059766279,7.22E-15,0.133124791,0.908245313,2.50E-23,8.709378895,145,29,0,50.00001734,0.921322188,0.995093773,0.995093773,0,8.388265687,0.614165607,305.1423226
0.019084033,1.00E-22,1.45E-28,0.014270838,0.058582399,1.73E-31,5.99E-18,5.13E-20,0.174422813,0.010380771,1.33E-26,8.98E-29,0.001427259,0.000748973,8.80E-25,0.000643931,0,0,0,0,0,0,0,0,1.887698144,3.59E-15,5.90E-30,0.003928114,0.889630735,5.04E-28,8.709271615,148,29,15.00028986,0,1.74406136,0.500009388,0.995093773,0,8.887494535,0.564549228,126.3357201
0.019025119,1.00E-23,1.45E-28,0.014367432,0.058598868,1.73E-22,5.99E-18,5.13E-20,0.174471846,0.010377284,1.33E-26,8.98E-29,0.001426056,0.000742077,2.16E-19,0.000650845,1.00E-30,1.00E-30,1.00E-30,1.00E-30,0,0,0,0,1.88716763,0.003444479,2.24E-14,0.001302243,0.889636931,5.04E-27,8.709347816,148,29,15.00028986,1.00E-32,1.744566789,0.500009388,0.995093773,0,8.887451066,0.564231954,136.3234219
0.030525896,2.82E-29,9.25E-21,4.92E-15,0.133288002,2.60E-15,2.86E-19,5.94E-30,1.08E-18,6.41E-19,9.45E-25,0.046774242,0.001642085,0.000866991,4.15E-19,0.000380899,0,0,0,0,2.00E-32,0.001012539,0.000766821,0.011823443,1.837413735,2.33E-30,7.43E-15,1.24E-28,0.897896784,9.086667287,1.37E-14,29,145,29.46482428,0,1.339944535,0.500000448,0.995093773,0.001852909,9.017383566,0.54038074,7.561815684
0.049367144,5.85E-30,3.59E-28,1.00E-30,4.966016219,10.01015947,15.03583324,13.06109014,0.18391779,0.033163235,2.62E-30,0.002813472,0,0,0,0,0.006218682,1.07E-21,1.50E-22,6.10E-29,3.77E-19,0.001323934,0.001255152,0.011985933,1.791432326,0.107986277,1.21E-16,0.040118369,0.894137849,12.12313465,8.709861148,139,29,0,45.17898602,1.106192659,0.994683695,0.995093773,6.14E-24,8.488029056,0.610601264,189.4399819
0.028907942,6.16E-31,3.03E-15,3.82E-30,0.039864964,5.26E-15,2.32E-15,9.45E-32,0,0,0,0,0.001674897,0.000877945,2.91E-24,0.000391512,0.059654592,2.04E-11,3.83E-10,0.47912781,1.79E-25,0.001155009,0.000904699,0.011656232,1.842093397,1.26E-30,1.24E-31,3.11E-15,0.895690113,2.52E-20,1,148,1,31.1694153,287.6505063,1.284638133,0.500017238,0.995093773,0.002060124,9.049552766,0.540427765,23.79309401
0.025349196,8.72E-21,9.65E-31,1.00E-30,0,0,0,0,0.161398504,0.011838494,6.06E-25,2.83E-30,0.001463278,0.000737307,3.67E-31,0.000385015,0.001080047,9.49E-32,1.47E-19,8.36E-26,5.09E-22,0.001315696,0.001050144,0.011774706,1.845721354,3.94E-22,1.21E-17,2.00E-30,0.887214209,1,8.709746847,1,27,30.46705125,50.00085458,0.45595269,0.993242073,0.995093773,0.002059398,9.021703777,0.55286142,9.119843602
0,0,0,0,0.127073412,1.73E-24,7.03E-18,7.13E-28,5.86E-25,1.89E-17,7.07E-17,0.044682791,0.001458917,0.000855748,3.71E-29,0.000347156,0.000731985,3.40E-26,1.01E-30,1.00E-30,3.38E-25,0.001083918,0.000774199,0.011810884,1.834833272,3.96E-31,1.64E-22,5.30E-23,0,9.032555366,3.02E-17,29,145,25.02903957,50.02864611,1.303169501,0.500000448,0.995093773,0.001852909,9.034370754,0.559669897,7.714873293
0.032370677,9.80E-17,2.21E-16,7.57E-31,0.133545818,7.13E-18,2.89E-31,2.74E-29,1.04E-18,6.59E-19,7.60E-25,0.044527639,0.001463551,0.000842258,8.09E-25,0.000359779,0.000738309,1.00E-30,1.00E-30,1.00E-30,3.22E-18,0.001063968,0.000809874,0.011849539,1.837358257,2.10E-30,2.42E-31,1.24E-28,0.893913587,9.107122723,8.89E-22,29,145,27.99662724,50.02864611,1.500548319,0.500000448,0.995093773,0.001852909,9.028275288,0.555194704,15.28095739
